EFPG_name,MAE,count
Vitamins and meal supplements,0.07194595138499399,180
"Other starchy vegetables, fresh cut",0.059085325573458795,180
"Fish and seafood, frozen",0.051865152965822434,180
Infant formula,0.05113640938712518,180
Candy,0.04966262348663416,180
"Bacon, sausage, and lunch meats",0.048489728212896134,180
"Beef, pork, lamb, veal and game, canned",0.04783877678738688,180
Dry spices,0.047683314308828044,180
"Whole fruit, fresh cut",0.04542532518358449,180
Unsweetened coffee and tea,0.04323879170864857,180
"Fish and seafood, fresh",0.04138696727084125,180
"Chicken, turkey, and game birds, canned",0.03916815670896209,180
"Beef, pork, lamb, veal and game, frozen",0.02896999846425946,180
"Chicken, turkey, and game birds, frozen",0.028082357722578142,180
"Dark green vegetables, fresh cut",0.023823739124739587,180
"Beef, pork, lamb, veal and game, fresh",0.022882728865654248,180
"Fish and seafood, canned",0.022214346529320923,180
"Whole fruit, dried",0.02195173836590598,180
All other desserts,0.0217296181196924,180
Nuts and seeds,0.02063392806725482,180
"Whole fruit, frozen",0.01925481295270898,180
Processed cheese,0.018706325040311035,180
Ready-to-eat foods,0.018636974590793286,180
Egg and egg substitutes,0.018611370144949468,180
Tofu and meat substitutes,0.01827831973161535,180
"Savory snacks, whole-grain snacks",0.018189355206779403,180
"Tomatoes, fresh",0.016795310044863388,180
Whole yogurt,0.015061093653083089,180
"Dark green vegetables, fresh",0.015031088889443748,180
"Beans, lentils, and peas, frozen",0.014925809305842187,180
"Other red and orange vegetables, frozen",0.014391163141874943,180
"Other starchy vegetables, fresh",0.014064611464224606,180
Cake and cookie mixes,0.013600561293449349,180
"Other/mixed vegetables, fresh cut",0.013578052962964033,180
Cheese and cream cheese,0.01310603273770076,180
Baked goods,0.012640337124459241,180
Fats and oils,0.012590061497246334,180
"Other/mixed vegetables, canned",0.012545282217645903,180
"Savory snacks, all other snacks",0.012360464515099862,180
Jellies and jams,0.012200618711294428,180
Sweeteners,0.011693855261943782,180
"Other red and orange vegetables, canned",0.01150859975622055,180
"Other red and orange vegetables, fresh",0.011148643919072361,180
Nut and seed butters and spreads,0.011121600183076612,180
Non-whole-grain breakfast grains,0.011079755150218706,180
"Chicken, turkey, and game birds, fresh",0.010951391022249558,180
"Other/mixed vegetables, fresh",0.010545251729201888,180
Salad dressing,0.009967291681186851,180
Baby food,0.009805230054484967,180
All other breakfast cereal,0.009494196499792506,180
Whole cream and sour cream,0.00936011737606855,180
Whole-grain breakfast grains,0.009326877876604089,180
"Beans, lentils, and peas, fresh/dried",0.009120139193411123,180
Whole-grain rice and pasta,0.008844053102343902,180
Whole-grain breakfast cereal,0.008628591994618774,180
Sweetened coffee and tea,0.00859190888993672,180
Ice cream and other milk-based desserts,0.008420113235868614,180
Alcohol,0.008334087079574823,180
"Dark green vegetables, frozen",0.008244376289028434,180
"Whole fruit, fresh",0.008221821299248293,180
"Other red and orange vegetables, fresh cut",0.00790831010356983,180
"Potatoes, canned",0.007898880739492298,180
Frozen and refrigerated ready-to-heat foods,0.007897736828185724,180
"Other/mixed vegetables, frozen",0.0076886217184490785,180
"Whole-grain flour, bread mixes, and frozen dough",0.007531745839184112,180
Whole-grain breads,0.007530458007498093,180
"Other starchy vegetables, frozen",0.007434534277345551,180
"Whole fruit, canned",0.007386577967737542,180
"Condiments, gravies, and sauces",0.007345409831541411,180
"Other starchy vegetables, canned",0.006885444292048968,180
Non-whole-grain rice and pasta,0.006651154409173387,180
"Reduced-fat, low-fat, and skim yogurt",0.006515287482268116,180
"Tomatoes, canned",0.006421534935592933,180
Non-whole-grain breads,0.006311010064209527,180
"Dark green vegetables, canned",0.006147012335386939,180
"Shelf-stable, ready-to-heat foods and soups",0.005778168504246669,180
"Potatoes, fresh",0.005738752985685079,180
"Non-whole-grain flour, bread mixes, and frozen dough",0.00561868817566162,180
"Reduced-fat, low-fat, and skim cream and sour cream",0.005513674401642193,180
Shelf-stable meal kits,0.005277463411922303,180
"100-percent fruit and vegetable juices, fresh",0.003443499786091618,180
"100-percent fruit and vegetable juices, canned and shelf-stable",0.0031474865454433113,180
"Beans, lentils, and peas, canned",0.003111414527821389,180
"100-percent fruit and vegetable juices, frozen",0.0029093334431333916,180
Flavored milk and other sweetened milk-based beverages,0.0028021056489117135,180
All other caloric beverages,0.002633035572017002,180
Low-calorie beverages,0.00257597655335866,180
Whole milk,0.002061245729852048,180
"Reduced-fat, low-fat, and skim milk",0.0018590400350247107,180
Water,0.0014453784247098378,180
