Metroregion_name,MAE
Los Angeles-Long Beach-Anaheim  CA,0.02247897434125635
Detroit-Warren-Dearborn  MI,0.020453280075843724
Chicago-Naperville-Elgin  IL-IN-WI,0.019264646512876335
New York-Newark-Jersey City  NY-NJ-PA,0.018219239166559858
Boston-Cambridge-Newton  MA-NH,0.01785044199623362
Houston-The Woodlands-Sugar Land  TX,0.017688266989430664
Miami-Fort Lauderdale-West Palm Beach  FL,0.017596286823371755
Philadelphia-Camden-Wilmington  PA-NJ-DE-MD,0.01754574090322887
Atlanta-Sandy Springs-Roswell  GA,0.01473952505947481
Census Region 1: Northeast,0.013915698408384882
Census Region 4: West,0.013840046337333342
Census Region 2: Midwest,0.01351143795106074
Dallas-Fort Worth-Arlington  TX,0.012525883670793712
Census Region 3: South,0.011040840038102202
National,0.010606276332098005
